FID,AsRecordedID,SpeciesID,Species_name
SpeciesList.1,1,1,Heterodontus portusjacksoni
SpeciesList.2,2,2,Parascyllium ferrugineum
SpeciesList.3,3,3,Cephaloscyllium laticeps
SpeciesList.4,4,4,Urolophus cruciatus
SpeciesList.5,5,5,Myliobatis australis
SpeciesList.6,6,6,Conger verreauxi
SpeciesList.8,8,8,Lotella rhacina
SpeciesList.9,9,9,Pseudophycis bachus
SpeciesList.10,10,10,Pseudophycis barbata
SpeciesList.11,11,11,Genypterus tigerinus
SpeciesList.12,12,12,Hyporhamphus melanochir
SpeciesList.13,13,13,Atherinason hepsetoides
SpeciesList.15,15,15,Paratrachichthys trailli
SpeciesList.17,17,17,Hippocampus abdominalis
SpeciesList.18,18,18,Phyllopteryx taeniolatus
SpeciesList.19,19,19,Helicolenus percoides
SpeciesList.20,20,20,Neosebastes scorpaenoides
SpeciesList.21,21,21,Scorpaena papillosa
SpeciesList.24,24,24,Caesioperca lepidoptera
SpeciesList.25,25,25,Caesioperca rasor
SpeciesList.26,26,26,Hypoplectrodes maccullochi
SpeciesList.27,27,27,Trachinops caudimaculatus
SpeciesList.28,28,28,Dinolestes lewini
SpeciesList.29,29,29,Vincentia conspersa
SpeciesList.31,31,31,Trachurus declivis
SpeciesList.33,33,33,Parequula melbournensis
SpeciesList.34,34,34,Upeneichthys vlamingii
SpeciesList.35,35,35,Pempheris multiradiata
SpeciesList.36,36,36,Girella elevata
SpeciesList.37,37,37,Girella tricuspidata
SpeciesList.38,38,38,Kyphosus sydneyanus
SpeciesList.39,39,39,Girella zebra
SpeciesList.40,40,40,Scorpis aequipinnis
SpeciesList.41,41,41,Scorpis lineolata
SpeciesList.42,42,42,Atypichthys strigatus
SpeciesList.43,43,43,Enoplosus armatus
SpeciesList.44,44,44,Pentaceropsis recurvirostris
SpeciesList.45,45,45,Chromis hypsilepis
SpeciesList.46,46,46,Parma microlepis
SpeciesList.47,47,47,Parma victoriae
SpeciesList.48,48,48,Aplodactylus arctidens
SpeciesList.49,49,49,Cheilodactylus nigripes
SpeciesList.50,50,50,Cheilodactylus spectabilis
SpeciesList.51,51,51,Dactylophora nigricans
SpeciesList.52,52,52,Nemadactylus macropterus
SpeciesList.53,53,53,Latridopsis forsteri
SpeciesList.55,55,55,Sphyraena novaehollandiae
SpeciesList.56,56,56,Dotalabrus aurantiacus
SpeciesList.57,57,57,Pictilabrus laticlavius
SpeciesList.58,58,58,Notolabrus fucicola
SpeciesList.60,60,60,Notolabrus tetricus
SpeciesList.62,62,62,Siphonognathus attenuatus
SpeciesList.63,63,63,Neoodax balteatus
SpeciesList.64,64,64,Siphonognathus beddomei
SpeciesList.65,65,65,Haletta semifasciata
SpeciesList.67,67,67,Kathetostoma laeve
SpeciesList.68,68,68,Bovichtus angustifrons
SpeciesList.69,69,69,Forsterygion varium
SpeciesList.71,71,71,Cristiceps australis
SpeciesList.72,72,72,Heteroclinus tristis
SpeciesList.73,73,73,Heteroclinus johnstoni
SpeciesList.74,74,74,Heteroclinus perspicillatus
SpeciesList.75,75,75,Parablennius tasmanianus
SpeciesList.76,76,76,Callogobius mucosus
SpeciesList.78,78,78,Seriolella brama
SpeciesList.79,79,79,Aspasmogaster tasmaniensis
SpeciesList.83,83,83,Eocallionymus papilio
SpeciesList.84,84,84,Rhombosolea tapirina
SpeciesList.85,85,85,Acanthaluteres spilomelanurus
SpeciesList.86,86,86,Brachaluteres jacksonianus
SpeciesList.87,87,87,Eubalichthys gunnii
SpeciesList.88,88,88,Meuschenia australis
SpeciesList.89,89,89,Meuschenia flavolineata
SpeciesList.90,90,90,Meuschenia freycineti
SpeciesList.91,91,91,Meuschenia hippocrepis
SpeciesList.92,92,92,Meuschenia scaber
SpeciesList.93,93,93,Acanthaluteres vittiger
SpeciesList.94,94,94,Thamnaconus degeni
SpeciesList.95,95,95,Aracana aurita
SpeciesList.96,96,96,Aracana ornata
SpeciesList.97,97,97,Tetractenos glaber
SpeciesList.98,98,98,Diodon nicthemerus
SpeciesList.101,101,101,Aetapcus maculatus
SpeciesList.103,103,103,Heteroclinus wilsoni
SpeciesList.105,105,105,Parascyllium variolatum
SpeciesList.106,106,106,Trianectes bucephalus
SpeciesList.107,107,107,Dasyatis brevicaudata
SpeciesList.108,108,108,Urolophus paucimaculatus
SpeciesList.110,110,110,Hypoplectrodes nigroruber
SpeciesList.112,112,112,Achoerodus gouldii
SpeciesList.113,113,113,Siphonognathus tanyourus
SpeciesList.114,114,114,Sardinops neopilchardus
SpeciesList.115,115,115,Siphamia cephalotes
SpeciesList.116,116,116,Meuschenia venusta
SpeciesList.119,119,119,Platycephalus bassensis
SpeciesList.120,120,120,Parapriacanthus elongatus
SpeciesList.121,121,121,Engraulis australis
SpeciesList.122,122,122,Gymnothorax prasinus
SpeciesList.124,124,124,Omegophora armilla
